container_id,container_sku,container_type,container_size,container_condition,location_name,latitude,longitude,available_date,price_usd,owner_id,zip_code,last_inspection_date
46,20SDBNBAL,20DC Brand New Side Door Container,20DC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,5200,GCE,21224,2025-05-30
47,40HCSDBNBAL,40HC Brand New Side Door Container,40HC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,7000,GCE,21224,2025-05-30
48,20DDBNBAL,20DC Brand New Double Door Container,20DC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,4200,GCE,21224,2025-05-30
50,40HCDDBNBAL,40HC Brand New Double Door Container,40HC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,5200,GCE,21224,2025-05-30
53,20RFBNBAL,20DC Brand New Refrigerated Container,20DC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,18500,GCE,21224,2025-05-30
54,40HCRFASBAL,40HC AS-IS Refrigerated Container,40HC,AS IS ,Baltimore,39.28309,-76.54088,2025-05-30,4200,GCE,21224,2025-05-30
56,40HCRFBNBAL,40HC Brand New Refrigerated Container,40HC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,25000,GCE,21224,2025-05-30
57,20OTCWBAL,20DC Cargo Worthy Open Top Container,20DC,Cargo Worthy ,Baltimore,39.28309,-76.54088,2025-05-30,6200,GCE,21224,2025-05-30
58,20OTBNBAL,20DC Brand New Open Top Container,20DC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,8500,GCE,21224,2025-05-30
59,40HCOTCWBAL,40HC Cargo Worthy Open Top Container,40HC,Cargo Worthy ,Baltimore,39.28309,-76.54088,2025-05-30,8800,GCE,21224,2025-05-30
60,40HCOTBNBAL,40HC Brand New Open Top Container,40HC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,13000,GCE,21224,2025-05-30
61,20DCWWCGY,20DC Wind and Water Tight Container,20DC,Wind and Water Tight,Calgary,51.04427,-114.062019,2025-05-30,8500,GCE,T2C2S3,2025-05-30
62,20DCCWCGY,20DC Cargo Worthy Container,20DC,Cargo Worthy ,Calgary,51.04427,-114.062019,2025-05-30,2200,GCE,T2C2S3,2025-05-30
63,20DCCLCGY,20DC IICL Container,20DC,IICL,Calgary,51.04427,-114.062019,2025-05-30,2700,GCE,T2C2S3,2025-05-30
64,20DCBNCGY,20DC Brand New Container,20DC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,3100,GCE,T2C2S3,2025-05-30
65,20HCBNCGY,20HC Brand New Container,20HC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,4200,GCE,T2C2S3,2025-05-30
66,40DCWWCGY,40DC Wind and Water Tight Container,40DC,Wind and Water Tight,Calgary,51.04427,-114.062019,2025-05-30,2500,GCE,T2C2S3,2025-05-30
67,40DCCWCGY,40DC Cargo Worthy Container,40DC,Cargo Worthy ,Calgary,51.04427,-114.062019,2025-05-30,2800,GCE,T2C2S3,2025-05-30
68,40DCCLCGY,40DC IICL Container,40DC,IICL,Calgary,51.04427,-114.062019,2025-05-30,4000,GCE,T2C2S3,2025-05-30
69,40DCBNCGY,40DC Brand New Container,40DC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,4800,GCE,T2C2S3,2025-05-30
70,40HCWWCGY,40HC Wind and Water Tight Container,40HC,Wind and Water Tight,Calgary,51.04427,-114.062019,2025-05-30,2750,GCE,T2C2S3,2025-05-30
71,40HCCWCGY,40HC Cargo Worthy Container,40HC,Cargo Worthy ,Calgary,51.04427,-114.062019,2025-05-30,3000,GCE,T2C2S3,2025-05-30
72,40HCCLCGY,40HC IICL Container,40HC,IICL,Calgary,51.04427,-114.062019,2025-05-30,3750,GCE,T2C2S3,2025-05-30
73,40HCBNCGY,40HC Brand New Container,40HC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,4750,GCE,T2C2S3,2025-05-30
74,45HCBNCGY,45HC Brand New Container,45HC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,11000,GCE,T2C2S3,2025-05-30
75,53HCBNCGY,53HC Brand New Container,53HC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,18500,GCE,T2C2S3,2025-05-30
76,20SDBNCGY,20DC Brand New Side Door Container,20DC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,5200,GCE,T2C2S3,2025-05-30
77,40HCSDBNCGY,40HC Brand New Side Door Container,40HC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,7000,GCE,T2C2S3,2025-05-30
78,20DDBNCGY,20DC Brand New Double Door Container,20DC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,4200,GCE,T2C2S3,2025-05-30
80,40HCDDBNCGY,40HC Brand New Double Door Container,40HC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,5200,GCE,T2C2S3,2025-05-30
83,20RFBNCGY,20DC Brand New Refrigerated Container,20DC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,18500,GCE,T2C2S3,2025-05-30
84,40HCRFASCGY,40HC AS-IS Refrigerated Container,40HC,AS IS ,Calgary,51.04427,-114.062019,2025-05-30,4200,GCE,T2C2S3,2025-05-30
86,40HCRFBNCGY,40HC Brand New Refrigerated Container,40HC,Brand New,Calgary,51.04427,-114.062019,2025-05-30,25000,GCE,T2C2S3,2025-05-30
87,20OTCWCGY,20DC Cargo Worthy Open Top Container,20DC,Cargo Worthy ,Calgary,51.04427,-114.062019,2025-05-30,6200,GCE,T2C2S3,2025-05-30
