container_id,container_sku,container_type,container_size,container_condition,location_name,latitude,longitude,available_date,price_usd,owner_id,zip_code,last_inspection_date,,,,location_name,
37,40HCCLBAL,40HC IICL Container,40HC,IICL,Baltimore,39.28309,-76.54088,2025-05-30,3500,GCE,21224,2025-05-30,,,,,
38,40HCBNBAL,40HC Brand New Container,40HC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,4300,GCE,21224,2025-05-30,,,,,
39,45HCBNBAL,45HC Brand New Container,45HC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,11000,GCE,21224,2025-05-30,,,,,
40,53HCBNBAL,53HC Brand New Container,53HC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,18500,GCE,21224,2025-05-30,,,,,
41,20SDBNBAL,20DC Brand New Side Door Container,20DC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,5200,GCE,21224,2025-05-30,,,,,
42,40HCSDBNBAL,40HC Brand New Side Door Container,40HC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,7000,GCE,21224,2025-05-30,,,,,
43,20DDBNBAL,20DC Brand New Double Door Container,20DC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,4200,GCE,21224,2025-05-30,,,,,
44,40HCDDBNBAL,40HC Brand New Double Door Container,40HC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,5200,GCE,21224,2025-05-30,,,,,
45,40HCRFASBAL,40HC AS-IS Refrigerated Container,40HC,AS IS ,Baltimore,39.28309,-76.54088,2025-05-30,4200,GCE,21224,2025-05-30,,,,,
46,40HCRFBNBAL,40HC Brand New Refrigerated Container,40HC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,25000,GCE,21224,2025-05-30,,,,,
47,20OTCWBAL,20DC Cargo Worthy Open Top Container,20DC,Cargo Worthy ,Baltimore,39.28309,-76.54088,2025-05-30,6200,GCE,21224,2025-05-30,,,,,
48,20OTBNBAL,20DC Brand New Open Top Container,20DC,Brand New,Baltimore,39.28309,-76.54088,2025-05-30,8500,GCE,21224,2025-05-30,,,,,
