COUNTRY,CITY,Size and Type,Price
Australia,Adelaide,40HC New,4345
Australia,Brisbane,40HC New,3805
Australia,Fremantle,40HC New,4075
Australia,Melbourne,40HC New,3890
Australia,Sydney,40HC New,3856.67
Austria,Vienna,40HC New,2815
Bangladesh,Chittagong,40HC New,3760
Belarus,Minsk,40HC New,2010
Belgium,Antwerp,40HC New,3250
Brazil,Santos,40HC New,3050
Brazil,Paranagua,40HC New,4045
Cambodia,Phnom Penh,40HC New,3585
Canada,"Calgary, AB",40HC New,3310
Canada,"Edmonton, AB",40HC New,3550
Canada,"Halifax, NS",40HC New,4350
Canada,"Montreal, QC",40HC New,3265
Canada,"Toronto, ON",40HC New,3085
Canada,"Vancouver, BC",40HC New,3695
Canada,"Winnipeg, MB",40HC New,3750
Chile,Santiago,40HC New,3465
Chile,Valparaiso,40HC New,2400
China,Dalian,40HC New,3955
China,Fuzhou,40HC New,4345
China,Guangzhou,40HC New,3805
China,Hong Kong,40HC New,4075
China,Huangpu,40HC New,3890
China,Lianyungang,40HC New,3856.67
China,Nansha,40HC New,4345
China,Qingdao,40HC New,3690
China,Shanghai,40HC New,3745
China,Shekou,40HC New,3535
China,Shenzhen,40HC New,3855
China,Tianjin,40HC New,3510
China,Xiamen,40HC New,3755
China,Ningbo,40HC New,3950
China,Chengdu,40HC New,2890
China,Hong Kong,40HC New,2565
China,Huangpu,40HC New,2815
China,Nanjing,40HC New,2910
China,Yantian,40HC New,3965
Costa Rica,Limon,40HC New,4075
Denmark,Aarhus,40HC New,3600
Denmark,Copenhagen,40HC New,2400
England,Leeds,40HC New,3550
England,London,40HC New,2970
Estonia,Tallin,40HC New,4075
Finland,Helsinki,40HC New,3135
Finland,Kotka,40HC New,4075
Finland,Rauma,40HC New,4355
France,Dunkerque,40HC New,2565
France,Fos Sur Mer,40HC New,3115
France,Le Havre,40HC New,3580
France,Lyon,40HC New,2425
France,Marseille,40HC New,2890
France,Rouen,40HC New,1530
France,Bordeaux,Dunkerque,3905
France,Marseille,40HC New,2400
Georgia,Poti,40HC New,4075
Germany,Bremen,40HC New,1690
Germany,Duisburg,40HC New,2565
Germany,Hamburg,40HC New,2815
Germany,Mannheim,40HC New,2890
Germany,Ludwigshafen,40HC New,4075
Germany,Munich,40HC New,3350
Greece,Piraeus,40HC New,2810
Hungary,Budapest,40HC New,2865
India,Delhi,40HC New,3745
India,Kolkata(Calcutta),40HC New,4180
India,Mundra,40HC New,3046
India,Nhava Sheva,40HC New,3150
India,Chennai,40HC New,3745
India,Kolkata(Calcutta),40HC New,3535
India,Mumbai,40HC New,3855
India,Mundra,40HC New,3510
India,New Delhi ,40HC New,3755
India,Tuticorin,40HC New,3600
Indonesia,Belawan,40HC New,4040
Indonesia,Jakarta,40HC New,3965
Indonesia,Semarang,40HC New,3920
Indonesia,Surabaya,40HC New,4010
Israel,Ashdod,40HC New,3400
Italy,Genoa,40HC New,3470
Italy,La Spezia,40HC New,1720
Italy,Livorno,40HC New,3760
Italy,Milan,40HC New,3920
Italy,Modena,40HC New,4045
Italy,Padova,40HC New,3465
Italy,Trieste,40HC New,2400
Italy,Venice,40HC New,4075
Japan,Kobe,40HC New,4180
Japan,Yokohama,40HC New,2350
Japan,Hakata,40HC New,3550
Japan,Kobe,40HC New,2970
Japan,Nagoya,40HC New,3135
Japan,Osaka,40HC New,2565
Japan,Tokyo,40HC New,3115
Kazakhstan,Almaty,40HC New,3550
Kazakhstan,Tashkent,40HC New,4045
Kenya,Mombasa,40HC New,3850
Kenya,Nairobi,40HC New,4075
Malaysia,Penang,40HC New,3585
Malaysia,Port Kelang,40HC New,3945
Malaysia,Johar,40HC New,3585
Mexico,Altamira,40HC New,4355
Mexico,Manzanillo,40HC New,3905
Mexico,Mexico City,40HC New,3350
Mexico,Veracruz,40HC New,3920
Morocco,Casablanca,40HC New,4075
Netherlands,Rotterdam,40HC New,4355
New Zealand,Tauranga,40HC New,4045
New Zealand,Auckland,40HC New,4345
New Zealand,Tauranga,40HC New,3690
Oman,Sohar,40HC New,3580
Pakistan,Karachi,40HC New,2663.33
Peru,Callao,40HC New,3700
Philippines,Manila,40HC New,4270
Poland,Gdansk,40HC New,2660
Poland,Warsaw,40HC New,2350
Poland,Gdynia,40HC New,3905
Portugal,Leixoes,40HC New,4540
Portugal,Lisboa,40HC New,4540
Portugal,Leixoes,40HC New,3350
Portugal,Setubal,40HC New,3920
Republic of Ireland,Dublin,40HC New,3015
Romania,Constanta,40HC New,4045
Russia,Moscow,40HC New,1220
Russia,St Petersburg,40HC New,2130
Russia,Vladivostok,40HC New,2390
Russia,"Yekaterinburg, Sve",40HC New,1990
Saudi Arabia,Jeddah,40HC New,2420
Singapore,Singapore,40HC New,4620
South Africa,Durban,40HC New,4820
South Africa,Johannesburg,40HC New,4825
South Africa,Cape Town,40HC New,3350
South Africa,Port Elizabeth,40HC New,3465
South Korea,Busan,40HC New,2770
South Korea,Gwangyang,40HC New,4010
South Korea,Inchoen,40HC New,3400
South Korea,Seoul,40HC New,3470
Spain,Arquata Scrivia,40HC New,4150
Spain,Barcelona,40HC New,4040
Spain,Bilbao,40HC New,4300
Spain,Madrid,40HC New,3910
Spain,Valencia (Spain),40HC New,3600
Spain,Algeciras,40HC New,3465
Spain,Barcelona,40HC New,2400
Spain,Bilbao,40HC New,4075
Spain,Madrid,40HC New,4075
Spain,Valencia ,40HC New,2010
Sweden,Gothenburg,40HC New,2640
Sweden,Norrkoping,40HC New,3250
Switzerland,Basle,40HC New,3050
Taiwan,Kaohsiung,40HC New,4045
Taiwan,Keelung,40HC New,4180
Taiwan,Taichung,40HC New,4210
Tamil Nadu,Chennai,40HC New,2415
Thailand,Bangkok,40HC New,4550
Thailand,Laem Chabang,40HC New,4370
Turkey,Istanbul,40HC New,4055
Turkey,Mersin,40HC New,3210
Turkey,Gebze,40HC New,3585
Turkey,Mersin,40HC New,3310
United Arab Emirates,Dubai,40HC New,4330
United Arab Emirates,Jebel Ali,40HC New,3370
United Kingdom,Southampton,40HC New,3655
United Kingdom,Belfast,40HC New,3550
United Kingdom,Birmingham ,40HC New,4350
United Kingdom,Doncaster,40HC New,3265
United Kingdom,Glasgow,40HC New,3085
United Kingdom,Leeds,40HC New,3695
United Kingdom,Liverpool,40HC New,3750
United Kingdom,London,40HC New,3955
United States,"Atlanta, GA",40HC New,3575
United States,"Baltimore, MD",40HC New,3550
United States,"Boston, MA",40HC New,4215
United States,"Charleston, SC",40HC New,3345
United States,"Charlotte, NC",40HC New,3810
United States,"Chicago, IL",40HC New,3300
United States,"Cincinnati, OH",40HC New,3540
United States,"Cleveland, OH",40HC New,3580
United States,"Columbus, OH",40HC New,3595
United States,"Dallas, TX",40HC New,3745
United States,"Denver, CO",40HC New,4025
United States,"Detroit, MI",40HC New,3060
United States,"El Paso, TX",40HC New,3790
United States,Houston,40HC New,3525
United States,"Jacksonville, FL",40HC New,3620
United States,"Kansas City, KS",40HC New,3485
United States,"Long Beach, CA",40HC New,3530
United States,"Los Angeles, CA",40HC New,3585
United States,"Memphis, TN",40HC New,3725
United States,"Miami, FL",40HC New,3660
United States,"Minneapolis, MN",40HC New,3660
United States,"Mobile, AL",40HC New,3835
United States,"Nashville, TN",40HC New,3995
United States,"New Orleans, LA",40HC New,4840
United States,"New York, NY",40HC New,3430
United States,"Norfolk, VA",40HC New,3355
United States,"Oakland, CA",40HC New,3660
United States,"Omaha, NE",40HC New,3585
United States,"Phoenix, AZ",40HC New,4355
United States,"Salt Lake City, UT",40HC New,3905
United States,"Savannah, GA",40HC New,3350
United States,"Seattle, WA",40HC New,3920
United States,"Tampa, FL",40HC New,4045
United States,"Indianapolis, IN",40HC New,3465
Vietnam,Haiphong,40HC New,2400
Vietnam,Ho Chi Minh City,40HC New,4075
Australia,Adelaide,40HC IICL,3995
Australia,Brisbane,40HC IICL,3455
Australia,Fremantle,40HC IICL,3725
Australia,Melbourne,40HC IICL,3540
Australia,Sydney,40HC IICL,3506.67
Austria,Vienna,40HC IICL,2465
Bangladesh,Chittagong,40HC IICL,3410
Belarus,Minsk,40HC IICL,1660
Belgium,Antwerp,40HC IICL,2900
Brazil,Santos,40HC IICL,2700
Brazil,Paranagua,40HC IICL,3695
Cambodia,Phnom Penh,40HC IICL,3235
Canada,"Calgary, AB",40HC IICL,2960
Canada,"Edmonton, AB",40HC IICL,3200
Canada,"Halifax, NS",40HC IICL,4000
Canada,"Montreal, QC",40HC IICL,2915
Canada,"Toronto, ON",40HC IICL,2735
Canada,"Vancouver, BC",40HC IICL,3345
Canada,"Winnipeg, MB",40HC IICL,3400
Chile,Santiago,40HC IICL,3115
Chile,Valparaiso,40HC IICL,2050
China,Dalian,40HC IICL,3605
China,Fuzhou,40HC IICL,3995
China,Guangzhou,40HC IICL,3455
China,Hong Kong,40HC IICL,3725
China,Huangpu,40HC IICL,3540
China,Lianyungang,40HC IICL,3506.67
China,Nansha,40HC IICL,3995
China,Qingdao,40HC IICL,3340
China,Shanghai,40HC IICL,3395
China,Shekou,40HC IICL,3185
China,Shenzhen,40HC IICL,3505
China,Tianjin,40HC IICL,3160
China,Xiamen,40HC IICL,3405
China,Ningbo,40HC IICL,3600
China,Chengdu,40HC IICL,2540
China,Hong Kong,40HC IICL,2215
China,Huangpu,40HC IICL,2465
China,Nanjing,40HC IICL,2560
China,Yantian,40HC IICL,3615
Costa Rica,Limon,40HC IICL,3725
Denmark,Aarhus,40HC IICL,3250
Denmark,Copenhagen,40HC IICL,2050
England,Leeds,40HC IICL,3200
England,London,40HC IICL,2620
Estonia,Tallin,40HC IICL,3725
Finland,Helsinki,40HC IICL,2785
Finland,Kotka,40HC IICL,3725
Finland,Rauma,40HC IICL,4005
France,Dunkerque,40HC IICL,2215
France,Fos Sur Mer,40HC IICL,2765
France,Le Havre,40HC IICL,3230
France,Lyon,40HC IICL,2075
France,Marseille,40HC IICL,2540
France,Rouen,40HC IICL,1180
France,Bordeaux,40HC IICL,3555
France,Marseille,40HC IICL,2050
Georgia,Poti,40HC IICL,3725
Germany,Bremen,40HC IICL,1340
Germany,Duisburg,40HC IICL,2215
Germany,Hamburg,40HC IICL,2465
Germany,Mannheim,40HC IICL,2540
Germany,Ludwigshafen,40HC IICL,3725
Germany,Munich,40HC IICL,3000
Greece,Piraeus,40HC IICL,2460
Hungary,Budapest,40HC IICL,2515
India,Delhi,40HC IICL,3395
India,Kolkata(Calcutta),40HC IICL,3830
India,Mundra,40HC IICL,2696
India,Nhava Sheva,40HC IICL,2800
India,Chennai,40HC IICL,3395
India,Kolkata(Calcutta),40HC IICL,3185
India,Mumbai,40HC IICL,3505
India,Mundra,40HC IICL,3160
India,New Delhi ,40HC IICL,3405
India,Tuticorin,40HC IICL,3250
Indonesia,Belawan,40HC IICL,3690
Indonesia,Jakarta,40HC IICL,3615
Indonesia,Semarang,40HC IICL,3570
Indonesia,Surabaya,40HC IICL,3660
Israel,Ashdod,40HC IICL,3050
Italy,Genoa,40HC IICL,3120
Italy,La Spezia,40HC IICL,1370
Italy,Livorno,40HC IICL,3410
Italy,Milan,40HC IICL,3570
Italy,Modena,40HC IICL,3695
Italy,Padova,40HC IICL,3115
Italy,Trieste,40HC IICL,2050
Italy,Venice,40HC IICL,3725
Japan,Kobe,40HC IICL,3830
Japan,Yokohama,40HC IICL,2000
Japan,Hakata,40HC IICL,3200
Japan,Kobe,40HC IICL,2620
Japan,Nagoya,40HC IICL,2785
Japan,Osaka,40HC IICL,2215
Japan,Tokyo,40HC IICL,2765
Kazakhstan,Almaty,40HC IICL,3200
Kazakhstan,Tashkent,40HC IICL,3695
Kenya,Mombasa,40HC IICL,3500
Kenya,Nairobi,40HC IICL,3725
Malaysia,Penang,40HC IICL,3235
Malaysia,Port Kelang,40HC IICL,3595
Malaysia,Johar,40HC IICL,3235
Mexico,Altamira,40HC IICL,4005
Mexico,Manzanillo,40HC IICL,3555
Mexico,Mexico City,40HC IICL,3000
Mexico,Veracruz,40HC IICL,3570
Morocco,Casablanca,40HC IICL,3725
Netherlands,Rotterdam,40HC IICL,4005
New Zealand,Tauranga,40HC IICL,3695
New Zealand,Auckland,40HC IICL,3995
New Zealand,Tauranga,40HC IICL,3340
Oman,Sohar,40HC IICL,3230
Pakistan,Karachi,40HC IICL,2313.33
Peru,Callao,40HC IICL,3350
Philippines,Manila,40HC IICL,3920
Poland,Gdansk,40HC IICL,2310
Poland,Warsaw,40HC IICL,2000
Poland,Gdynia,40HC IICL,3555
Portugal,Leixoes,40HC IICL,4190
Portugal,Lisboa,40HC IICL,4190
Portugal,Leixoes,40HC IICL,3000
Portugal,Setubal,40HC IICL,3570
Republic of Ireland,Dublin,40HC IICL,2665
Romania,Constanta,40HC IICL,3695
Russia,Moscow,40HC IICL,870
Russia,St Petersburg,40HC IICL,1780
Russia,Vladivostok,40HC IICL,2040
Russia,"Yekaterinburg, Sve",40HC IICL,1640
Saudi Arabia,Jeddah,40HC IICL,2070
Singapore,Singapore,40HC IICL,4270
South Africa,Durban,40HC IICL,4470
South Africa,Johannesburg,40HC IICL,4475
South Africa,Cape Town,40HC IICL,3000
South Africa,Port Elizabeth,40HC IICL,3115
South Korea,Busan,40HC IICL,2420
South Korea,Gwangyang,40HC IICL,3660
South Korea,Inchoen,40HC IICL,3050
South Korea,Seoul,40HC IICL,3120
Spain,Arquata Scrivia,40HC IICL,3800
Spain,Barcelona,40HC IICL,3690
Spain,Bilbao,40HC IICL,3950
Spain,Madrid,40HC IICL,3560
Spain,Valencia (Spain),40HC IICL,3250
Spain,Algeciras,40HC IICL,3115
Spain,Barcelona,40HC IICL,2050
Spain,Bilbao,40HC IICL,3725
Spain,Madrid,40HC IICL,3725
Spain,Valencia ,40HC IICL,1660
Sweden,Gothenburg,40HC IICL,2290
Sweden,Norrkoping,40HC IICL,2900
Switzerland,Basle,40HC IICL,2700
Taiwan,Kaohsiung,40HC IICL,3695
Taiwan,Keelung,40HC IICL,3830
Taiwan,Taichung,40HC IICL,3860
Tamil Nadu,Chennai,40HC IICL,2065
Thailand,Bangkok,40HC IICL,4200
Thailand,Laem Chabang,40HC IICL,4020
Turkey,Istanbul,40HC IICL,3705
Turkey,Mersin,40HC IICL,2860
Turkey,Gebze,40HC IICL,3235
Turkey,Mersin,40HC IICL,2960
United Arab Emirates,Dubai,40HC IICL,3980
United Arab Emirates,Jebel Ali,40HC IICL,3020
United Kingdom,Southampton,40HC IICL,3305
United Kingdom,Belfast,40HC IICL,3200
United Kingdom,Birmingham ,40HC IICL,4000
United Kingdom,Doncaster,40HC IICL,2915
United Kingdom,Glasgow,40HC IICL,2735
United Kingdom,Leeds,40HC IICL,3345
United Kingdom,Liverpool,40HC IICL,3400
United Kingdom,London,40HC IICL,3605
United States,"Atlanta, GA",40HC IICL,3225
United States,"Baltimore, MD",40HC IICL,3200
United States,"Boston, MA",40HC IICL,3865
United States,"Charleston, SC",40HC IICL,2995
United States,"Charlotte, NC",40HC IICL,3460
United States,"Chicago, IL",40HC IICL,2950
United States,"Cincinnati, OH",40HC IICL,3190
United States,"Cleveland, OH",40HC IICL,3230
United States,"Columbus, OH",40HC IICL,3245
United States,"Dallas, TX",40HC IICL,3395
United States,"Denver, CO",40HC IICL,3675
United States,"Detroit, MI",40HC IICL,2710
United States,"El Paso, TX",40HC IICL,3440
United States,Houston,40HC IICL,3175
United States,"Jacksonville, FL",40HC IICL,3270
United States,"Kansas City, KS",40HC IICL,3135
United States,"Long Beach, CA",40HC IICL,3180
United States,"Los Angeles, CA",40HC IICL,3235
United States,"Memphis, TN",40HC IICL,3375
United States,"Miami, FL",40HC IICL,3310
United States,"Minneapolis, MN",40HC IICL,3310
United States,"Mobile, AL",40HC IICL,3485
United States,"Nashville, TN",40HC IICL,3645
United States,"New Orleans, LA",40HC IICL,4490
United States,"New York, NY",40HC IICL,3080
United States,"Norfolk, VA",40HC IICL,3005
United States,"Oakland, CA",40HC IICL,3310
United States,"Omaha, NE",40HC IICL,3235
United States,"Phoenix, AZ",40HC IICL,4005
United States,"Salt Lake City, UT",40HC IICL,3555
United States,"Savannah, GA",40HC IICL,3000
United States,"Seattle, WA",40HC IICL,3570
United States,"Tampa, FL",40HC IICL,3695
United States,"Indianapolis, IN",40HC IICL,3115
Vietnam,Haiphong,40HC IICL,2050
Vietnam,Ho Chi Minh City,40HC IICL,3725
Australia,Adelaide,40HC Cw ,3240
Australia,Brisbane,40HC Cw ,3280
Australia,Fremantle,40HC Cw ,3490
Australia,Melbourne,40HC Cw ,3415
Australia,Sydney,40HC Cw ,3315
Austria,Vienna,40HC Cw ,2440
Bangladesh,Chittagong,40HC Cw ,2950
Belarus,Minsk,40HC Cw ,1200
Belgium,Antwerp,40HC Cw ,2250
Brazil,Santos,40HC Cw ,1910
Brazil,Paranagua,40HC Cw ,2470
Cambodia,Phnom Penh,40HC Cw ,2710
Canada,"Calgary, AB",40HC Cw ,2335
Canada,"Edmonton, AB",40HC Cw ,2380
Canada,"Halifax, NS",40HC Cw ,3350
Canada,"Montreal, QC",40HC Cw ,2050
Canada,"Toronto, ON",40HC Cw ,1885
Canada,"Vancouver, BC",40HC Cw ,1935
Canada,"Winnipeg, MB",40HC Cw ,2455
Chile,Santiago,40HC Cw ,2100
Chile,Valparaiso,40HC Cw ,2825
China,Dalian,40HC Cw ,3465
China,Fuzhou,40HC Cw ,3240
China,Guangzhou,40HC Cw ,3280
China,Hong Kong,40HC Cw ,3490
China,Huangpu,40HC Cw ,3415
China,Lianyungang,40HC Cw ,3315
China,Nansha,40HC Cw ,3555
China,Qingdao,40HC Cw ,3235
China,Shanghai,40HC Cw ,1630
China,Shekou,40HC Cw ,3480
China,Shenzhen,40HC Cw ,3490
China,Tianjin,40HC Cw ,3265
China,Xiamen,40HC Cw ,3350
China,Ningbo,40HC Cw ,3135
China,Chengdu,40HC Cw ,1980
China,Hong Kong,40HC Cw ,1895
China,Huangpu,40HC Cw ,1810
China,Nanjing,40HC Cw ,1825
China,Yantian,40HC Cw ,2585
Costa Rica,Limon,40HC Cw ,2660
Denmark,Aarhus,40HC Cw ,2400
Denmark,Copenhagen,40HC Cw ,2825
England,Leeds,40HC Cw ,1660
England,London,40HC Cw ,1930
Estonia,Tallin,40HC Cw ,2660
Finland,Helsinki,40HC Cw ,1870
Finland,Kotka,40HC Cw ,2660
Finland,Rauma,40HC Cw ,3385
France,Dunkerque,40HC Cw ,1810
France,Fos Sur Mer,40HC Cw ,2050
France,Le Havre,40HC Cw ,1810
France,Lyon,40HC Cw ,2225
France,Marseille,40HC Cw ,1980
France,Rouen,40HC Cw ,1850
France,Bordeaux,40HC Cw ,2770
France,Marseille,40HC Cw ,2825
Georgia,Poti,40HC Cw ,2660
Germany,Bremen,40HC Cw ,1925
Germany,Duisburg,40HC Cw ,1895
Germany,Hamburg,40HC Cw ,1810
Germany,Mannheim,40HC Cw ,1980
Germany,Ludwigshafen,40HC Cw ,2660
Germany,Munich,40HC Cw ,1940
Greece,Piraeus,40HC Cw ,1830
Hungary,Budapest,40HC Cw ,1760
India,Delhi,40HC Cw ,2325
India,Kolkata(Calcutta),40HC Cw ,2210
India,Mundra,40HC Cw ,2410
India,Nhava Sheva,40HC Cw ,2375
India,Chennai,40HC Cw ,1630
India,Kolkata(Calcutta),40HC Cw ,3480
India,Mumbai,40HC Cw ,3490
India,Mundra,40HC Cw ,3265
India,New Delhi ,40HC Cw ,3350
India,Tuticorin,40HC Cw ,2400
Indonesia,Belawan,40HC Cw ,2850
Indonesia,Jakarta,40HC Cw ,2585
Indonesia,Semarang,40HC Cw ,2645
Indonesia,Surabaya,40HC Cw ,2690
Israel,Ashdod,40HC Cw ,2750
Italy,Genoa,40HC Cw ,1970
Italy,La Spezia,40HC Cw ,2190
Italy,Livorno,40HC Cw ,1535
Italy,Milan,40HC Cw ,1940
Italy,Modena,40HC Cw ,2470
Italy,Padova,40HC Cw ,2100
Italy,Trieste,40HC Cw ,2825
Italy,Venice,40HC Cw ,2660
Japan,Kobe,40HC Cw ,3860
Japan,Yokohama,40HC Cw ,3660
Japan,Hakata,40HC Cw ,1660
Japan,Kobe,40HC Cw ,1930
Japan,Nagoya,40HC Cw ,1870
Japan,Osaka,40HC Cw ,1810
Japan,Tokyo,40HC Cw ,2050
Kazakhstan,Almaty,40HC Cw ,2250
Kazakhstan,Tashkent,40HC Cw ,1180
Kenya,Mombasa,40HC Cw ,2550
Kenya,Nairobi,40HC Cw ,2660
Malaysia,Penang,40HC Cw ,2455
Malaysia,Port Kelang,40HC Cw ,2565
Malaysia,Johar,40HC Cw ,2455
Mexico,Altamira,40HC Cw ,3385
Mexico,Manzanillo,40HC Cw ,2770
Mexico,Mexico City,40HC Cw ,1940
Mexico,Veracruz,40HC Cw ,1940
Morocco,Casablanca,40HC Cw ,2660
Netherlands,Rotterdam,40HC Cw ,3385
New Zealand,Tauranga,40HC Cw ,2130
New Zealand,Auckland,40HC Cw ,3555
New Zealand,Tauranga,40HC Cw ,3235
Oman,Sohar,40HC Cw ,1810
Pakistan,Karachi,40HC Cw ,2190
Peru,Callao,40HC Cw ,1770
Philippines,Manila,40HC Cw ,2500
Poland,Gdansk,40HC Cw ,1525
Poland,Warsaw,40HC Cw ,1360
Poland,Gdynia,40HC Cw ,2770
Portugal,Leixoes,40HC Cw ,2185
Portugal,Lisboa,40HC Cw ,2075
Portugal,Leixoes,40HC Cw ,1940
Portugal,Setubal,40HC Cw ,1940
Republic of Ireland,Dublin,40HC Cw ,1815
Romania,Constanta,40HC Cw ,2470
Russia,Moscow,40HC Cw ,1145
Russia,St Petersburg,40HC Cw ,1505
Russia,Vladivostok,40HC Cw ,1932
Russia,"Yekaterinburg, Sve",40HC Cw ,1440
Saudi Arabia,Jeddah,40HC Cw ,2480
Singapore,Singapore,40HC Cw ,2965
South Africa,Durban,40HC Cw ,2030
South Africa,Johannesburg,40HC Cw ,2540
South Africa,Cape Town,40HC Cw ,1940
South Africa,Port Elizabeth,40HC Cw ,2100
South Korea,Busan,40HC Cw ,3460
South Korea,Gwangyang,40HC Cw ,2690
South Korea,Inchoen,40HC Cw ,2750
South Korea,Seoul,40HC Cw ,1970
Spain,Arquata Scrivia,40HC Cw ,2400
Spain,Barcelona,40HC Cw ,1690
Spain,Bilbao,40HC Cw ,2450
Spain,Madrid,40HC Cw ,1935
Spain,Valencia (Spain),40HC Cw ,1985
Spain,Algeciras,40HC Cw ,2100
Spain,Barcelona,40HC Cw ,2825
Spain,Bilbao,40HC Cw ,2660
Spain,Madrid,40HC Cw ,2660
Spain,Valencia ,40HC Cw ,1200
Sweden,Gothenburg,40HC Cw ,2265
Sweden,Norrkoping,40HC Cw ,2250
Switzerland,Basle,40HC Cw ,1910
Taiwan,Kaohsiung,40HC Cw ,2825
Taiwan,Keelung,40HC Cw ,3180
Taiwan,Taichung,40HC Cw ,3275
Tamil Nadu,Chennai,40HC Cw ,2836
Thailand,Bangkok,40HC Cw ,3150
Thailand,Laem Chabang,40HC Cw ,2900
Turkey,Istanbul,40HC Cw ,1690
Turkey,Mersin,40HC Cw ,1680
Turkey,Gebze,40HC Cw ,2710
Turkey,Mersin,40HC Cw ,2335
United Arab Emirates,Dubai,40HC Cw ,2980
United Arab Emirates,Jebel Ali,40HC Cw ,2255
United Kingdom,Southampton,40HC Cw ,1585
United Kingdom,Belfast,40HC Cw ,2380
United Kingdom,Birmingham ,40HC Cw ,3350
United Kingdom,Doncaster,40HC Cw ,2050
United Kingdom,Glasgow,40HC Cw ,1885
United Kingdom,Leeds,40HC Cw ,1935
United Kingdom,Liverpool,40HC Cw ,2455
United Kingdom,London,40HC Cw ,3465
United States,"Atlanta, GA",40HC Cw ,2550
United States,"Baltimore, MD",40HC Cw ,2350
United States,"Boston, MA",40HC Cw ,2550
United States,"Charleston, SC",40HC Cw ,2150
United States,"Charlotte, NC",40HC Cw ,2570
United States,"Chicago, IL",40HC Cw ,1890
United States,"Cincinnati, OH",40HC Cw ,2005
United States,"Cleveland, OH",40HC Cw ,2300
United States,"Columbus, OH",40HC Cw ,2190
United States,"Dallas, TX",40HC Cw ,2405
United States,"Denver, CO",40HC Cw ,3390
United States,"Detroit, MI",40HC Cw ,2375
United States,"El Paso, TX",40HC Cw ,3145
United States,Houston,40HC Cw ,2005
United States,"Jacksonville, FL",40HC Cw ,2155
United States,"Kansas City, KS",40HC Cw ,2765
United States,"Long Beach, CA",40HC Cw ,2110
United States,"Los Angeles, CA",40HC Cw ,2035
United States,"Memphis, TN",40HC Cw ,2160
United States,"Miami, FL",40HC Cw ,2320
United States,"Minneapolis, MN",40HC Cw ,2705
United States,"Mobile, AL",40HC Cw ,2575
United States,"Nashville, TN",40HC Cw ,2515
United States,"New Orleans, LA",40HC Cw ,2760
United States,"New York, NY",40HC Cw ,1740
United States,"Norfolk, VA",40HC Cw ,2080
United States,"Oakland, CA",40HC Cw ,2250
United States,"Omaha, NE",40HC Cw ,2640
United States,"Phoenix, AZ",40HC Cw ,3385
United States,"Salt Lake City, UT",40HC Cw ,2770
United States,"Savannah, GA",40HC Cw ,1940
United States,"Seattle, WA",40HC Cw ,1940
United States,"Tampa, FL",40HC Cw ,2470
United States,"Indianapolis, IN",40HC Cw ,2100
Vietnam,Haiphong,40HC Cw ,2825
Vietnam,Ho Chi Minh City,40HC Cw ,2660
Australia,Adelaide,40HC WWT,3090
Australia,Brisbane,40HC WWT,3130
Australia,Fremantle,40HC WWT,3340
Australia,Melbourne,40HC WWT,3265
Australia,Sydney,40HC WWT,3165
Austria,Vienna,40HC WWT,2290
Bangladesh,Chittagong,40HC WWT,2800
Belarus,Minsk,40HC WWT,1050
Belgium,Antwerp,40HC WWT,2100
Brazil,Santos,40HC WWT,1760
Brazil,Paranagua,40HC WWT,2320
Cambodia,Phnom Penh,40HC WWT,2560
Canada,"Calgary, AB",40HC WWT,2185
Canada,"Edmonton, AB",40HC WWT,2230
Canada,"Halifax, NS",40HC WWT,3200
Canada,"Montreal, QC",40HC WWT,1900
Canada,"Toronto, ON",40HC WWT,1735
Canada,"Vancouver, BC",40HC WWT,1785
Canada,"Winnipeg, MB",40HC WWT,2305
Chile,Santiago,40HC WWT,1950
Chile,Valparaiso,40HC WWT,2675
China,Dalian,40HC WWT,3315
China,Fuzhou,40HC WWT,3090
China,Guangzhou,40HC WWT,3130
China,Hong Kong,40HC WWT,3340
China,Huangpu,40HC WWT,3265
China,Lianyungang,40HC WWT,3165
China,Nansha,40HC WWT,3405
China,Qingdao,40HC WWT,3085
China,Shanghai,40HC WWT,1480
China,Shekou,40HC WWT,3330
China,Shenzhen,40HC WWT,3340
China,Tianjin,40HC WWT,3115
China,Xiamen,40HC WWT,3200
China,Ningbo,40HC WWT,2985
China,Chengdu,40HC WWT,1830
China,Hong Kong,40HC WWT,1745
China,Huangpu,40HC WWT,1660
China,Nanjing,40HC WWT,1675
China,Yantian,40HC WWT,2435
Costa Rica,Limon,40HC WWT,2510
Denmark,Aarhus,40HC WWT,2250
Denmark,Copenhagen,40HC WWT,2675
England,Leeds,40HC WWT,1510
England,London,40HC WWT,1780
Estonia,Tallin,40HC WWT,2510
Finland,Helsinki,40HC WWT,1720
Finland,Kotka,40HC WWT,2510
Finland,Rauma,40HC WWT,3235
France,Dunkerque,40HC WWT,1660
France,Fos Sur Mer,40HC WWT,1900
France,Le Havre,40HC WWT,1660
France,Lyon,40HC WWT,2075
France,Marseille,40HC WWT,1830
France,Rouen,40HC WWT,1700
France,Bordeaux,40HC WWT,2620
France,Marseille,40HC WWT,2675
Georgia,Poti,40HC WWT,2510
Germany,Bremen,40HC WWT,1775
Germany,Duisburg,40HC WWT,1745
Germany,Hamburg,40HC WWT,1660
Germany,Mannheim,40HC WWT,1830
Germany,Ludwigshafen,40HC WWT,2510
