ORIGIN,DESTINATION,Container Size,Price,Free Days,Per Diem
Novorossiysk,Keelung,40HC,$780,60,$10.00
Novorossiysk,Jebel Ali,40HC,$60,60,$10.00
Novorossiysk,Izmit,40HC,$290,60,$10.00
Novorossiysk,Chennai,40HC,$10,60,$10.00
Novorossiysk,Bangkok,40HC,$100,60,$10.00
Taicang,Novosibirsk,40GP,$980,60,$10.00
Ningbo,"Yekaterinburg, Sve",40HC,"$2,580",60,$10.00
Ningbo,Vladivostok,40HC,"$1,700",60,$10.00
Ningbo,St Petersburg,40HC,"$2,070",60,$10.00
Ningbo,"Salt Lake City, UT",40HC,$800,60,$10.00
Ningbo,Nhava Sheva,40HC,$165,60,$10.00
Ningbo,Malaszewicze,40HC,"$1,520",60,$10.00
Ningbo,Gebze,40HC,"$1,610",60,$10.00
Ningbo,Antwerp,40HC,"$1,240",60,$10.00
Ningbo,Antwerp,40HC,"$1,240",60,$10.00
Ningbo,Ambarli,40HC,"$1,670",60,$10.00
Ningbo,Ambarli,40HC,"$1,670",60,$10.00
Nhava Sheva,"Yekaterinburg, Sve",40HC,$900,60,$10.00
Nhava Sheva,Vladivostok,40HC,$890,60,$10.00
Nhava Sheva,Rotterdam,40HC,$770,60,$10.00
Nhava Sheva,Praha,40HC,$480,60,$10.00
Nhava Sheva,Novosibirsk,40HC,$850,60,$10.00
Nhava Sheva,Minsk,40HC,"$1,250",60,$10.00
Nhava Sheva,Lodz,40HC,$480,60,$10.00
Nhava Sheva,Irkutsk,40HC,$800,60,$10.00
Nhava Sheva,Helsinki,40HC,$480,60,$10.00
Nhava Sheva,Fos Sur Mer,40HC,$480,60,$10.00
Nhava Sheva,Duisburg,40HC,$480,60,$10.00
Nhava Sheva,Dublin,40HC,$480,60,$10.00
Nhava Sheva,Antwerp,40HC,"$1,100",60,$10.00
Nansha,"Yekaterinburg, Sve",40HC,"$2,700",60,$10.00
Nansha,"Tacoma, WA",40HC,$560,60,$10.00
Nansha,St Petersburg,40HC,"$1,630",60,$10.00
Nansha,"Savannah, GA",40HC,"$1,200",60,$10.00
Nansha,Rotterdam,40HC,"$1,140",60,$10.00
Surabaya,"Yekaterinburg, Sve",20GP,"$1,100",60,$5.00
Nansha,Oslo,40HC,"$2,400",60,$10.00
Surabaya,Vladivostok,20GP,$990,60,$5.00
Nansha,Novorossiysk,40HC,"$2,400",60,$10.00
Nansha,Moscow,40HC,"$2,040",60,$10.00
Nansha,Helsinki,40HC,"$1,760",60,$10.00
Surabaya,St Petersburg,20GP,"$1,100",60,$5.00
Nansha,"Detroit, MI",40HC,$900,60,$10.00
Nansha,Copenhagen,40HC,"$2,280",60,$10.00
Mundra,"Yekaterinburg, Sve",40HC,$810,60,$10.00
Mundra,Vladivostok,40HC,"$1,240",60,$10.00
Surabaya,Moscow,20GP,"$1,200",60,$5.00
Surabaya,Moscow,20GP,"$1,200",60,$5.00
Mundra,Novosibirsk,40HC,"$1,100",60,$10.00
Mundra,Irkutsk,40HC,$680,60,$10.00
Mundra,Hamburg,40HC,$940,60,$10.00
Mundra,Antwerp,40HC,"$1,100",60,$10.00
Moscow,Port Kelang,40HC,$400,60,$10.00
Moscow,Keelung,40HC,$60,60,$10.00
Moscow,Cochin,40HC,$120,60,$10.00
Moscow,Chongqing,40HC,"$1,265",60,$10.00
